Generation;Max;Min;Mean
384;5.83E-07;9.51E-53;1.82E-08
385;5.83E-07;2.61E-59;1.82E-08
386;5.83E-07;4.22E-52;1.82E-08
387;5.83E-07;4.34E-37;1.82E-08
388;5.83E-07;6.41E-54;1.82E-08
389;5.83E-07;3.48E-40;1.82E-08
390;5.83E-07;2.00E-63;1.82E-08
391;5.83E-07;2.00E-63;1.82E-08
392;5.08E-06;2.00E-63;6.90E-08
393;5.08E-06;6.68E-61;6.90E-08
394;5.08E-06;6.29E-55;6.90E-08
395;5.08E-06;8.09E-49;6.63E-08
396;5.08E-06;2.15E-57;6.63E-08
397;5.08E-06;8.09E-49;6.63E-08
398;5.08E-06;6.77E-46;6.63E-08
399;5.08E-06;7.29E-49;6.63E-08
400;5.08E-06;2.50E-63;6.63E-08
401;5.08E-06;8.93E-38;6.78E-08
402;5.08E-06;4.47E-53;6.81E-08
403;5.08E-06;4.47E-53;6.81E-08
404;5.08E-06;1.15E-47;6.81E-08
405;5.08E-06;6.84E-51;6.74E-08
406;5.08E-06;1.57E-45;6.60E-08
407;5.08E-06;5.91E-62;6.60E-08
408;5.08E-06;1.65E-41;6.60E-08
409;5.08E-06;5.11E-52;6.60E-08
410;5.08E-06;2.48E-68;6.60E-08
411;5.08E-06;2.11E-56;6.61E-08
412;5.08E-06;3.00E-55;6.61E-08
413;5.08E-06;6.69E-45;6.61E-08
414;5.08E-06;4.63E-44;6.61E-08
415;5.08E-06;1.38E-42;6.47E-08
416;5.08E-06;5.82E-41;6.47E-08
417;5.08E-06;6.41E-43;6.47E-08
418;5.08E-06;7.06E-42;6.47E-08
419;5.08E-06;7.06E-42;6.47E-08
420;5.08E-06;2.79E-46;6.47E-08
421;5.08E-06;1.24E-50;6.47E-08
422;5.08E-06;1.13E-61;6.47E-08
423;5.08E-06;8.93E-48;6.47E-08
424;5.08E-06;2.68E-52;6.47E-08
425;5.08E-06;8.63E-49;6.47E-08
426;5.08E-06;8.63E-49;6.47E-08
427;5.08E-06;5.31E-53;6.48E-08
428;5.08E-06;5.76E-54;6.48E-08
429;5.08E-06;3.82E-53;6.48E-08
430;5.08E-06;5.35E-50;6.48E-08
431;5.08E-06;5.35E-50;6.33E-08
432;5.08E-06;5.50E-41;6.33E-08
433;5.08E-06;5.32E-61;6.33E-08
434;5.08E-06;1.02E-54;6.33E-08
435;5.08E-06;1.69E-47;6.33E-08
436;5.08E-06;8.57E-45;6.33E-08
437;5.08E-06;5.74E-60;6.33E-08
438;5.08E-06;1.23E-43;6.37E-08
439;5.08E-06;1.10E-44;6.37E-08
440;5.08E-06;1.30E-78;6.37E-08
441;5.08E-06;6.43E-57;6.37E-08
442;5.08E-06;1.10E-44;6.37E-08
443;5.08E-06;2.95E-45;6.37E-08
444;5.08E-06;3.11E-71;6.37E-08
445;5.08E-06;1.31E-34;6.37E-08
446;5.08E-06;3.08E-39;6.37E-08
447;5.08E-06;2.54E-43;6.37E-08
448;5.08E-06;9.40E-43;6.37E-08
449;5.08E-06;8.73E-42;6.37E-08
450;5.08E-06;1.06E-41;6.37E-08
451;5.08E-06;3.97E-44;6.37E-08
452;5.08E-06;6.25E-44;6.37E-08
453;5.08E-06;3.34E-38;6.37E-08
454;5.08E-06;3.20E-41;6.37E-08
455;5.08E-06;1.52E-38;6.37E-08
456;5.08E-06;2.08E-41;6.37E-08
457;5.08E-06;5.86E-50;6.37E-08
458;5.08E-06;1.39E-52;6.37E-08
459;5.08E-06;1.75E-47;6.37E-08
460;5.08E-06;6.56E-54;6.37E-08
461;5.08E-06;1.63E-53;6.46E-08
462;5.08E-06;6.40E-55;6.46E-08
463;5.08E-06;1.58E-57;6.46E-08
464;5.08E-06;1.60E-55;6.46E-08
465;5.08E-06;3.73E-44;6.46E-08
466;5.08E-06;2.10E-50;6.46E-08
467;5.08E-06;1.50E-46;6.46E-08
468;5.08E-06;1.79E-44;6.46E-08
469;5.08E-06;7.54E-39;6.46E-08
470;5.08E-06;5.21E-40;6.46E-08
471;5.08E-06;2.36E-44;6.46E-08
472;5.08E-06;2.88E-61;6.46E-08
473;5.08E-06;1.63E-55;6.46E-08
474;5.08E-06;2.36E-44;6.46E-08
475;5.08E-06;2.36E-44;6.46E-08
476;5.08E-06;5.66E-43;6.46E-08
477;5.08E-06;5.66E-43;6.46E-08
478;5.08E-06;5.53E-51;6.45E-08
479;5.08E-06;2.89E-69;6.45E-08
480;5.08E-06;1.16E-45;6.45E-08
481;5.08E-06;1.16E-45;6.56E-08
482;5.08E-06;1.35E-39;6.56E-08
483;5.08E-06;4.22E-74;7.53E-08
484;5.08E-06;1.32E-53;7.53E-08
485;5.08E-06;3.83E-57;7.53E-08
486;5.08E-06;2.78E-50;7.53E-08
487;5.08E-06;6.52E-70;7.53E-08
488;5.08E-06;5.21E-44;7.53E-08
489;5.08E-06;1.38E-41;7.53E-08
490;5.08E-06;4.59E-57;7.53E-08
491;5.08E-06;1.81E-56;7.53E-08
492;5.08E-06;3.18E-74;7.53E-08
493;5.08E-06;4.68E-49;7.53E-08
494;5.08E-06;2.09E-56;7.53E-08
495;5.08E-06;4.90E-41;7.53E-08
496;5.08E-06;1.26E-63;7.53E-08
497;5.08E-06;1.98E-51;7.53E-08
498;5.08E-06;1.25E-47;7.54E-08
499;5.08E-06;4.38E-57;7.54E-08
500;5.08E-06;2.10E-63;7.54E-08
501;5.08E-06;4.48E-58;7.54E-08
502;5.08E-06;4.48E-58;7.54E-08
503;5.08E-06;1.25E-48;7.54E-08
504;5.08E-06;2.57E-44;7.54E-08
505;5.08E-06;1.84E-51;7.54E-08
506;5.08E-06;1.84E-51;7.54E-08
507;5.08E-06;1.32E-51;7.54E-08
508;9.75E-07;2.76E-47;2.46E-08
509;5.83E-07;4.58E-57;1.48E-08
510;5.83E-07;1.29E-70;1.48E-08
511;5.83E-07;4.87E-51;1.48E-08
512;5.83E-07;1.43E-57;1.48E-08
513;5.83E-07;1.89E-48;1.48E-08
514;5.83E-07;1.89E-48;1.48E-08
515;5.83E-07;4.85E-47;1.48E-08
516;5.83E-07;6.30E-50;1.48E-08
517;5.83E-07;7.10E-64;1.48E-08
518;5.83E-07;1.58E-53;1.48E-08
519;5.83E-07;3.48E-54;1.48E-08
520;5.83E-07;2.19E-67;1.48E-08
521;5.83E-07;5.46E-59;1.48E-08
522;5.83E-07;4.69E-42;1.48E-08
523;5.83E-07;1.76E-43;1.84E-08
524;5.83E-07;1.43E-60;1.84E-08
525;5.83E-07;2.44E-56;1.84E-08
526;5.83E-07;6.75E-54;1.84E-08
527;5.83E-07;2.38E-47;1.84E-08
528;5.83E-07;4.78E-49;1.84E-08
529;5.83E-07;1.73E-67;1.84E-08
530;5.83E-07;1.63E-54;1.84E-08
531;5.83E-07;2.30E-59;1.84E-08
532;5.83E-07;1.05E-46;1.84E-08
533;5.83E-07;1.05E-46;1.84E-08
534;5.83E-07;5.61E-58;1.84E-08
535;5.83E-07;1.63E-48;1.84E-08
536;5.83E-07;1.73E-48;1.84E-08
537;5.83E-07;7.43E-53;1.84E-08
538;3.63E-07;1.55E-58;1.26E-08
539;3.63E-07;4.50E-63;1.26E-08
540;3.63E-07;9.49E-61;1.26E-08
541;3.63E-07;5.56E-45;1.26E-08
542;3.63E-07;4.49E-61;1.26E-08
543;3.63E-07;9.61E-58;1.26E-08
544;3.63E-07;5.19E-53;1.26E-08
545;3.63E-07;3.59E-47;1.26E-08
546;3.63E-07;3.59E-47;1.26E-08
547;3.63E-07;4.92E-53;1.26E-08
548;3.63E-07;3.51E-61;1.26E-08
549;3.63E-07;3.57E-66;1.24E-08
550;3.63E-07;2.48E-56;1.24E-08
551;3.63E-07;4.30E-42;1.24E-08
552;3.63E-07;3.33E-46;1.24E-08
